chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1538183449,2018-09-29T01:10:49Z,KK4EHJ-6,KK4EHJ-6,3(3/3),0,!,KK4EHJ-6,6#,34.868333,-83.810000,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538183450,2018-09-29T01:10:50Z,KK4EHJ-6,KK4EHJ-6,5(2/2),0,!,KK4EHJ-6,6#,34.868333,-83.810000,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538183486,2018-09-29T01:11:26Z,KK4EHJ-12,KK4EHJ-12,72(12/20),0,`,KK4EHJ-12,/>,34.536518,-83.917779,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=236, A1=422, A2=632",
0,1538183488,2018-09-29T01:11:28Z,KK4EHJ-12,KK4EHJ-6,13(9/8),0,`,KK4EHJ-12,/>,34.536518,-83.917779,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=236, A1=422, A2=632",
0,1538183490,2018-09-29T01:11:30Z,KK4EHJ-12,N3DAB-1,64(22/19),0,`,KK4EHJ-12,/>,34.536518,-83.917779,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=236, A1=422, A2=632",
0,1538183606,2018-09-29T01:13:26Z,KK4EHJ-12,KK4EHJ-12,70(13/19),0,`,KK4EHJ-12,/>,34.536515,-83.917768,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=237, A1=422, A2=632",MT-RTG
0,1538183607,2018-09-29T01:13:27Z,KK4EHJ-12,KK4EHJ-6,19(10/9),0,`,KK4EHJ-12,/>,34.536515,-83.917768,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=237, A1=422, A2=632",MT-RTG
0,1538183608,2018-09-29T01:13:28Z,KK4EHJ-12,N3DAB-1,74(27/18),0,`,KK4EHJ-12,/>,34.536515,-83.917768,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=237, A1=422, A2=632",MT-RTG
0,1538183698,2018-09-29T01:14:58Z,N3DAB-1,N3DAB-1,63(22/18),0,!,N3DAB-1,I&,34.484167,-84.347667,,,,,,,>40 APRSmax,,,Bent Tree iGate
0,1538183707,2018-09-29T01:15:07Z,WX4BK-13,N3DAB-1,66(22/18),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538183708,2018-09-29T01:15:08Z,WX4BK-13,KK4EHJ-6,20(11/9),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538183726,2018-09-29T01:15:26Z,KK4EHJ-12,KK4EHJ-12,71(11/19),0,`,KK4EHJ-12,/>,34.536515,-83.917766,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=238, A1=422, A2=632",
0,1538183726,2018-09-29T01:15:26Z,KK4EHJ-12,KK4EHJ-6,41(14/12),0,`,KK4EHJ-12,/>,34.536515,-83.917766,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=238, A1=422, A2=632",
0,1538183727,2018-09-29T01:15:27Z,KK4EHJ-12,N3DAB-1,76(27/18),0,`,KK4EHJ-12,/>,34.536515,-83.917766,0.0,189.0,443.0,,,,Byonics TinyTrack3,In Service,"Seq=238, A1=422, A2=632",
0,1538183793,2018-09-29T01:16:33Z,K4MFC-2,N3DAB-1,64(21/18),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538183794,2018-09-29T01:16:34Z,K4MFC-2,N3DAB-1,61(21/18),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538183845,2018-09-29T01:17:25Z,KK4EHJ-12,KK4EHJ-12,72(11/20),0,`,KK4EHJ-12,/>,34.536516,-83.917762,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=239, A1=422, A2=632",
0,1538183846,2018-09-29T01:17:26Z,KK4EHJ-12,KK4EHJ-6,47(16/12),0,`,KK4EHJ-12,/>,34.536516,-83.917762,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=239, A1=422, A2=632",
0,1538183849,2018-09-29T01:17:29Z,KK4EHJ-12,N3DAB-1,66(22/18),0,`,KK4EHJ-12,/>,34.536516,-83.917762,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=239, A1=422, A2=632",
0,1538183875,2018-09-29T01:17:55Z,K4MFC-2,N3DAB-1,63(22/18),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538183965,2018-09-29T01:19:25Z,KK4EHJ-12,KK4EHJ-12,75(11/20),0,`,KK4EHJ-12,/>,34.536527,-83.917764,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=240, A1=422, A2=632",
0,1538183966,2018-09-29T01:19:26Z,KK4EHJ-12,KK4EHJ-6,44(13/13),0,`,KK4EHJ-12,/>,34.536527,-83.917764,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=240, A1=422, A2=632",
0,1538183967,2018-09-29T01:19:27Z,KK4EHJ-12,N3DAB-1,76(26/18),0,`,KK4EHJ-12,/>,34.536527,-83.917764,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=240, A1=422, A2=632",
0,1538183991,2018-09-29T01:19:51Z,K4MFC-2,N3DAB-1,60(21/18),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538183996,2018-09-29T01:19:56Z,K4MFC-2,N3DAB-1,61(22/19),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538184021,2018-09-29T01:20:21Z,WX4BK-13,N3DAB-1,63(22/19),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538184022,2018-09-29T01:20:22Z,WX4BK-13,KK4EHJ-6,15(9/8),0,!,WX4BK-13,I#,33.794333,-84.994333,,,,,,,"DireWolf, WB2OSZ",,,WX4BK IG/Digi/WX
0,1538184085,2018-09-29T01:21:25Z,KK4EHJ-12,KK4EHJ-12,71(11/20),0,`,KK4EHJ-12,/>,34.536529,-83.917758,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=241, A1=422, A2=632",MT-RTG
0,1538184086,2018-09-29T01:21:26Z,KK4EHJ-12,KK4EHJ-6,10(6/8),0,`,KK4EHJ-12,/>,34.536529,-83.917758,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=241, A1=422, A2=632",MT-RTG
0,1538184090,2018-09-29T01:21:30Z,KK4EHJ-12,N3DAB-1,64(22/18),0,`,KK4EHJ-12,/>,34.536529,-83.917758,0.0,189.0,442.0,,,,Byonics TinyTrack3,In Service,"Seq=241, A1=422, A2=632",MT-RTG
0,1538184112,2018-09-29T01:21:52Z,K4MFC-2,N3DAB-1,62(20/18),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
0,1538184181,2018-09-29T01:23:01Z,WX4BK-13,N3DAB-1,66(23/18),0,},WX4BK-13,/R,,,,,,,,,"DireWolf, WB2OSZ",,,
0,1538184185,2018-09-29T01:23:05Z,K4MFC-2,N3DAB-1,63(22/18),0,},K4MFC-2,/U,,,,,,,,,"Generic, (obsolete. Digis should use APNxxx instead)",,,
