chan,utime,isotime,source,heard,level,error,dti,name,symbol,latitude,longitude,speed,course,altitude,frequency,offset,tone,system,status,comment
0,1538266657,2018-09-30T00:17:37Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538266659,2018-09-30T00:17:39Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538268458,2018-09-30T00:47:38Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538268459,2018-09-30T00:47:39Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538270258,2018-09-30T01:17:38Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538270259,2018-09-30T01:17:39Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538272058,2018-09-30T01:47:38Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538272060,2018-09-30T01:47:40Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538272324,2018-09-30T01:52:04Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
0,1538272326,2018-09-30T01:52:06Z,KK4EHJ-6,KK4EHJ-6,0(0/0),0,!,KK4EHJ-6,6#,34.538833,-83.917833,,,,,,,"DireWolf, WB2OSZ",,,Temp digi for 6 Gap Ride
